	코드	종목명	평가손익	평가수익률	매입가	보유량	가능수량	현재가	등락률	전일	금일	매입금액	평가금액	수수료	세금	통화	손익분기매입가	환율	국가	거래소	종목풀코드
	'BULZ	MICROSECTORS FANG & INNOVATION 3X LEVER	"-256.6800"	"-6.22%"	"26.7605"	"154"	"154"	"25.1300"	"-8.68%"	"40"	"0"	"4,121.1100"	"3,870.0200"	"5.59"	"0"	USD	"26.7968"	1184.00	미국	미국	NYBULZ
	'LABU	DIREXION DAILY S&P BIOTECH BULL 3X ETF	"-6,965.6800"	"-21.07%"	"44.1770"	"748"	"748"	"34.9200"	"-8.30%"	"48"	"0"	"33,044.4300"	"26,120.1600"	"41.41"	"0"	USD	"44.2324"	1184.00	미국	미국	NYLABU
	'TNA	DIREXION SMALL CAP BULL 3X ETF	"-3,349.1500"	"-20.09%"	"93.6175"	"178"	"178"	"74.9200"	"-6.22%"	"11"	"0"	"16,663.9200"	"13,335.7600"	"20.99"	"0"	USD	"93.7354"	1184.00	미국	미국	NYTNA
	'WEBL	DIREXION DAILY DOW JONES INTERNET BULL	"-7,058.8549"	"-22.78%"	"76.8704"	"403"	"403"	"59.4500"	"-7.59%"	"28"	"0"	"30,978.7549"	"23,958.3500"	"38.45"	"0"	USD	"76.9658"	1184.00	미국	미국	NYWEBL
