	코드	종목명	평가손익	평가수익률	매입가	보유량	가능수량	현재가	등락률	전일	금일	매입금액	평가금액	수수료	세금	통화	손익분기매입가	환율	국가	거래소	종목풀코드
	'BULZ	MICROSECTORS FANG & INNOVATION 3X LEVER	"17.2300"	"2.82%"	"27.6809"	"22"	"22"	"28.5200"	"+4.09%"	"22"	"0"	"608.9800"	"627.4400"	"1.23"	"0"	USD	"27.7368"	1170.00	미국	미국	NYBULZ
	'DUSL	DIREXION DAILY INDUSTRIALS BULL 3X ETF	"314.1500"	"5.58%"	"43.5950"	"129"	"129"	"46.1200"	"+1.99%"	"0"	"0"	"5,623.7600"	"5,949.4800"	"11.57"	"0"	USD	"43.6847"	1170.00	미국	미국	NYDUSL
	'FNGU	MICROSECTORS FANG 3X ETN	"276.2600"	"3.63%"	"35.1594"	"216"	"216"	"36.5100"	"+3.14%"	"10"	"0"	"7,594.4200"	"7,886.1600"	"15.48"	"0"	USD	"35.2310"	1170.00	미국	미국	NYFNGU
	'SOXL	DIREXION DAILY SEMICONDUCTOR BULL 3X ET	"350.7800"	"8.48%"	"43.5168"	"95"	"95"	"47.3000"	"+5.86%"	"6"	"0"	"4,134.1000"	"4,493.5000"	"8.62"	"0"	USD	"43.6076"	1170.00	미국	미국	NYSOXL
	'TNA	DIREXION SMALL CAP BULL 3X ETF	"423.8700"	"4.14%"	"88.1259"	"116"	"116"	"91.9600"	"+8.35%"	"0"	"0"	"10,222.6100"	"10,667.3600"	"20.88"	"0"	USD	"88.3059"	1170.00	미국	미국	NYTNA
	'TQQQ	PROETF ULTRAPRO QQQ	"285.7900"	"8.21%"	"133.8292"	"26"	"26"	"145.1000"	"+2.92%"	"0"	"0"	"3,479.5600"	"3,772.6000"	"7.25"	"0"	USD	"134.1081"	1170.00	미국	미국	NDTQQQ
	'WANT	DIREXION DAILY CONSUMER DISCRETIONARY B	"22.6200"	"8.96%"	"63.0850"	"4"	"4"	"68.8700"	"+2.64%"	"0"	"0"	"252.3400"	"275.4800"	"0.52"	"0"	USD	"63.2150"	1170.00	미국	미국	NYWANT
