	코드	종목명	평가손익	평가수익률	매입가	보유량	가능수량	현재가	등락률	전일	금일	매입금액	평가금액	수수료	세금	통화	손익분기매입가	환율	국가	거래소	종목풀코드
	'BULZ	MICROSECTORS FANG & INNOVATION 3X LEVER	"551.7400"	"8.02%"	"25.9302"	"265"	"265"	"28.0500"	"+1.30%"	"0"	"0"	"6,871.5000"	"7,433.2500"	"10.01"	"0"	USD	"25.9680"	1178.00	미국	미국	NYBULZ
	'CURE	DIREXION DAILY HEALTHCARE BULL 3X ETF	"-1.5600"	"-0.35%"	"110.9150"	"4"	"4"	"110.6800"	"+3.91%"	"4"	"0"	"443.6600"	"442.7200"	"0.62"	"0"	USD	"111.0700"	1178.00	미국	미국	NYCURE
	'LABU	DIREXION DAILY S&P BIOTECH BULL 3X ETF	"-13.0300"	"-1.75%"	"53.1671"	"14"	"14"	"52.3100"	"+2.71%"	"14"	"0"	"744.3400"	"732.3400"	"1.03"	"0"	USD	"53.2407"	1178.00	미국	미국	NYLABU
	'NAIL	DIREXION DAILY HOMEBUILDERS & SUPPLIES	"455.2800"	"7.25%"	"72.1422"	"87"	"87"	"77.4800"	"-0.50%"	"0"	"0"	"6,276.3700"	"6,740.7600"	"9.11"	"0"	USD	"72.2469"	1178.00	미국	미국	NYNAIL
	'SOXL	DIREXION DAILY SEMICONDUCTOR BULL 3X ET	"119.7500"	"1.05%"	"43.9040"	"258"	"258"	"44.4300"	"+3.66%"	"30"	"0"	"11,327.2400"	"11,462.9400"	"15.95"	"0"	USD	"43.9659"	1178.00	미국	미국	NYSOXL
	'TNA	DIREXION SMALL CAP BULL 3X ETF	"235.8044"	"5.59%"	"85.9540"	"49"	"49"	"90.8900"	"+1.08%"	"1"	"0"	"4,211.7456"	"4,453.6100"	"6.06"	"0"	USD	"86.0777"	1178.00	미국	미국	NYTNA
	'TQQQ	PROETF ULTRAPRO QQQ	"0.4100"	"0.09%"	"142.5167"	"3"	"3"	"142.8500"	"+2.20%"	"-25"	"0"	"427.5500"	"428.5500"	"0.59"	"0"	USD	"142.7133"	1178.00	미국	미국	NDTQQQ
	'WEBL	DIREXION DAILY DOW JONES INTERNET BULL	"27.0100"	"2.75%"	"89.0182"	"11"	"11"	"91.6000"	"+2.52%"	"6"	"0"	"979.2000"	"1,007.6000"	"1.39"	"0"	USD	"89.1445"	1178.00	미국	미국	NYWEBL
