	코드	종목명	평가손익	평가수익률	매입가	보유량	가능수량	현재가	등락률	전일	금일	매입금액	평가금액	수수료	세금	통화	손익분기매입가	환율	국가	거래소	종목풀코드
	'BULZ	MICROSECTORS FANG & INNOVATION 3X LEVER	"437.8700"	"6.37%"	"25.9302"	"265"	"265"	"27.6200"	"-1.53%"	"0"	"0"	"6,871.5000"	"7,319.3000"	"9.93"	"0"	USD	"25.9677"	1175.00	미국	미국	NYBULZ
	'CURE	DIREXION DAILY HEALTHCARE BULL 3X ETF	"17.2300"	"3.88%"	"110.9150"	"4"	"4"	"115.3800"	"+4.25%"	"4"	"0"	"443.6600"	"461.5200"	"0.63"	"0"	USD	"111.0725"	1175.00	미국	미국	NYCURE
	'LABU	DIREXION DAILY S&P BIOTECH BULL 3X ETF	"-21.9900"	"-2.31%"	"52.8389"	"18"	"18"	"51.6900"	"-1.19%"	"18"	"0"	"951.1000"	"930.4200"	"1.31"	"0"	USD	"52.9117"	1175.00	미국	미국	NYLABU
	'TNA	DIREXION SMALL CAP BULL 3X ETF	"322.9644"	"7.66%"	"85.9540"	"49"	"49"	"92.6700"	"+1.96%"	"0"	"0"	"4,211.7456"	"4,540.8300"	"6.12"	"0"	USD	"86.0789"	1175.00	미국	미국	NYTNA
	'TQQQ	PROETF ULTRAPRO QQQ	"-1.3400"	"-0.18%"	"142.4700"	"5"	"5"	"142.4000"	"-0.32%"	"5"	"0"	"712.3500"	"712.0000"	"0.99"	"0"	USD	"142.6680"	1175.00	미국	미국	NDTQQQ
	'WEBL	DIREXION DAILY DOW JONES INTERNET BULL	"15.6400"	"1.25%"	"89.3571"	"14"	"14"	"90.6000"	"-1.09%"	"6"	"0"	"1,251.0000"	"1,268.4000"	"1.76"	"0"	USD	"89.4829"	1175.00	미국	미국	NYWEBL
